Date, Score, Server, Agent, Map, Blockade
2020/12/24_23:06, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2020/12/24_23:12, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2020/12/24_23:17, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2020/12/24_23:37, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2020/12/24_23:43, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2020/12/24_23:49, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_13:34, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_14:50, 72.55059462504667, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/02/16_15:19, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_15:34, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_15:42, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_15:51, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_16:03, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_16:30, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_16:40, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_16:49, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/02/16_17:06, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/03/01_19:51, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/03/01_20:01, 1.1720405942880057, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/03/01_20:01, shutdown done
2021/03/01_20:36, 0.0, git/rcrs-server, git/rionerescue, maps/gml/test, yes
2021/03/01_20:54, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:03, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:13, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:23, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:32, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:42, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_21:51, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:01, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:11, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:20, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:30, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:40, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:49, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_22:59, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
2021/03/01_23:08, 72.50989286951956, git/rcrs-server, git/rionerescue, maps/gml/berlin, yes
